wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788201127.178,SynthZone:0036,35,0.9,113.2,118.3,5.2
1788201127.23,SynthZone:0049,35,1.1,115.2,119.3,4.0
1788201127.369,SynthZone:0041,35,0.8,112.1,115.9,3.8
1788201127.574,SynthZone:0020,35,0.9,114.5,119.0,4.6
1788201127.595,SynthZone:0033,35,0.8,112.1,114.6,2.5
1788201127.806,SynthZone:0031,35,1.0,114.6,118.9,4.4
1788201127.991,SynthZone:0014,35,1.5,117.0,122.1,5.1
1788201128.149,SynthZone:0030,35,1.3,113.5,117.6,4.2
1788201128.169,SynthZone:0026,35,0.9,116.4,120.4,4.0
1788201128.676,SynthZone:0018,35,1.2,114.3,118.6,4.3
1788201129.336,SynthZone:0029,35,2.3,118.7,123.0,4.3
1788201129.363,SynthZone:0022,35,0.8,112.7,116.5,3.9
1788201129.396,SynthZone:0034,35,1.0,115.8,119.6,3.7
1788201129.556,SynthZone:0003,35,1.2,114.2,117.7,3.5
1788201129.639,SynthZone:0040,35,1.2,115.6,119.5,3.9
1788201129.689,SynthZone:0017,35,1.3,115.4,119.9,4.5
1788201129.774,SynthZone:0039,35,1.8,118.3,123.3,5.1
1788201130.499,SynthZone:0025,35,1.4,115.7,119.5,3.9
1788201130.879,SynthZone:0045,35,0.4,110.6,115.4,4.8
1788201130.995,SynthZone:0046,35,0.6,108.4,110.5,2.1
1788201131.325,SynthZone:0001,35,1.4,114.3,118.1,3.8
1788201131.378,SynthZone:0042,35,1.3,115.6,119.6,4.1
1788201131.416,SynthZone:0047,35,1.3,113.3,117.1,3.8
1788201131.763,SynthZone:0011,35,1.2,116.7,121.1,4.3
1788201132.024,SynthZone:0021,35,1.5,113.8,117.7,3.9
1788201132.034,SynthZone:0012,35,0.9,113.8,117.3,3.5
1788201173.194,SynthZone:0002,40,2.0,118.3,376.9,258.6
1788201173.194,SynthZone:0007,40,1.4,115.7,1157.0,1041.3
1788201173.194,SynthZone:0004,40,1.3,114.7,458.3,343.7
1788201173.361,SynthZone:0016,40,0.9,113.8,117.4,3.6
1788201173.373,SynthZone:0043,40,1.6,115.3,119.6,4.3
1788201173.453,SynthZone:0010,40,1.7,115.5,120.0,4.5
1788201174.129,SynthZone:0032,40,1.1,115.0,118.7,3.7
1788201174.181,SynthZone:0005,40,0.9,115.2,119.9,4.7
1788201174.585,SynthZone:0044,40,1.6,115.0,118.9,3.9
1788201174.767,SynthZone:0023,40,1.0,114.7,118.5,3.8
1788201174.924,SynthZone:0048,40,2.1,117.4,123.2,5.8
1788201175.033,SynthZone:0008,40,1.6,115.8,120.2,4.5
1788201175.047,SynthZone:0009,40,2.4,118.3,124.2,5.8
1788201175.056,SynthZone:0037,40,1.5,117.3,121.5,4.2
1788201175.275,SynthZone:0015,40,1.3,113.4,116.7,3.3
1788201175.611,SynthZone:0028,40,1.0,116.6,122.0,5.4
1788201175.721,SynthZone:0019,40,1.1,115.6,120.7,5.1
1788201175.743,SynthZone:0038,40,1.0,114.7,118.7,4.0
1788201175.99,SynthZone:0006,40,1.2,116.7,121.0,4.3
1788201176.295,SynthZone:0027,40,1.2,114.3,117.4,3.1
1788201176.378,SynthZone:0013,40,1.2,114.8,119.1,4.3
1788201176.4,SynthZone:0024,40,0.7,111.4,116.7,5.4
1788201176.848,SynthZone:0035,40,1.2,113.9,117.6,3.7
1788201177.106,SynthZone:0050,40,0.7,114.2,118.5,4.3
1788201177.183,SynthZone:0036,40,1.8,114.6,119.1,4.5
1788201177.226,SynthZone:0049,40,1.9,116.7,121.4,4.8
1788201177.37,SynthZone:0041,40,0.9,113.9,118.0,4.2
1788201177.579,SynthZone:0020,40,1.3,115.4,119.7,4.3
1788201177.598,SynthZone:0033,40,1.1,114.6,119.3,4.6
1788201177.8,SynthZone:0031,40,0.9,114.3,118.5,4.1
1788201177.994,SynthZone:0014,40,1.8,115.6,121.0,5.4
1788201178.148,SynthZone:0030,40,1.3,113.7,117.1,3.4
1788201178.17,SynthZone:0026,40,1.0,113.7,118.1,4.3
1788201178.667,SynthZone:0018,40,0.9,113.0,116.7,3.6
1788201179.335,SynthZone:0029,40,0.8,113.8,119.0,5.2
1788201179.368,SynthZone:0022,40,0.8,114.3,118.0,3.7
1788201179.386,SynthZone:0034,40,0.7,108.4,110.2,1.9
1788201179.56,SynthZone:0003,40,0.8,114.1,117.9,3.7
1788201179.636,SynthZone:0040,40,0.9,113.0,117.0,4.0
1788201179.682,SynthZone:0017,40,1.0,113.7,117.6,3.9
1788201179.776,SynthZone:0039,40,1.1,116.0,121.8,5.8
1788201180.501,SynthZone:0025,40,1.2,115.4,119.2,3.8
1788201180.884,SynthZone:0045,40,0.9,113.0,117.4,4.5
1788201181.004,SynthZone:0046,40,0.9,114.9,120.1,5.1
1788201181.327,SynthZone:0001,40,1.4,116.5,120.2,3.7
1788201181.377,SynthZone:0042,40,1.1,115.3,119.5,4.2
1788201181.416,SynthZone:0047,40,0.8,112.8,118.3,5.5
1788201181.759,SynthZone:0011,40,1.1,114.4,119.4,4.9
1788201182.026,SynthZone:0021,40,1.2,115.5,118.6,3.1
1788201182.036,SynthZone:0012,40,1.9,118.9,122.9,4.0
1788201222.285,SynthZone:0007,45,1.5,110.6,252.6,142.0
1788201222.851,SynthZone:0004,45,1.7,115.1,119.3,4.2
1788201222.929,SynthZone:0002,45,1.1,112.5,116.8,4.3
1788201223.366,SynthZone:0016,45,0.9,113.5,117.9,4.4
